author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Lizzie,Ortiz-Cam,National Forest and Wildlife Service (SERFOR),Lisa,Jones-Engel,President of People for the Ethical Treatment of Animals (PETA),Patricia,Mendoza,Asociación Neotropical Primate Conservation Perú,Ricardo,Castillo-Neyra,Universidad Peruana Cayetano Heredia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage D.,Rohrer,"University of Missouri-St. Louis, Department of Biology",Gustavo,Jiménez-Uzcátegui,Charles Darwin Foundation Santa Cruz,Patricia G.,Parker,"University of Missouri-St. Louis, Department of Biology",Lon M.,Chubiz,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua W.,Reid,Texas Tech University,Samuel J.,Polizzi,Middle Tennessee State University,Yicong,Zhu,Stony Brook University,Siying,Jiang,Stony Brook University,Brandon,Ofem,University of Missouri-St. Louis,Sara,Salisbury,Middle Tennessee State University,Michael,Beeth,University of Wisconsin Oshkosh,Margaret,Mohr-Schroeder,University of Kentucky,Keith,Sheppard,Stony Brook University,Gillian,Roehrig,University of Minnesota Twin Cities,Gregory T.,Rushton,Middle Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin,Pos,Universiteit Utrecht,Luiz,de Souza Coelho,Instituto Nacional de Pesquisas Da Amazonia,Diogenes,de Andrade Lima Filho,Instituto Nacional de Pesquisas Da Amazonia,Rafael P.,Salomão,Universidade Federal Rural da Amazonia,Iêda Leão,Amaral,Instituto Nacional de Pesquisas Da Amazonia,Francisca Dionízia,de Almeida Matos,Instituto Nacional de Pesquisas Da Amazonia,Carolina V.,Castilho,EMBRAPA – Centro de Pesquisa Agroflorestal de Roraima,Oliver L.,Phillips,University of Leeds,Juan Ernesto,Guevara,Universidad de las Americas - Ecuador,Marcelo,de Jesus Veiga Carim,Instituto de Pesquisas Científicas e Tecnológicas do Amapá - IEPA,Dairon Cárdenas,López,Institute of Amazonian Research-Sinchi,William E.,Magnusson,Instituto Nacional de Pesquisas Da Amazonia,Florian,Wittmann,Karlsruher Institut für Technologie,Mariana Victória,Irume,Instituto Nacional de Pesquisas Da Amazonia,Maria Pires,Martins,Instituto Nacional de Pesquisas Da Amazonia,Daniel,Sabatier,Université de Montpellier,José Renan,da Silva Guimarães,Instituto de Pesquisas Científicas e Tecnológicas do Amapá - IEPA,Jean François,Molino,Université de Montpellier,Olaf S.,Bánki,Naturalis Biodiversity Center,Maria Teresa Fernandez,Piedade,Instituto Nacional de Pesquisas Da Amazonia,Nigel C.A.,Pitman,Field Museum of Natural History,Abel Monteagudo,Mendoza,Jardin Botanico de Missouri,José Ferreira,Ramos,Instituto Nacional de Pesquisas Da Amazonia,Joseph E.,Hawes,Anglia Ruskin University,Everton José,Almeida,Universidade Federal de Mato Grosso,Luciane Ferreira,Barbosa,Universidade Federal de Mato Grosso,Larissa,Cavalheiro,Universidade Federal de Mato Grosso,Márcia Cléia Vilela,dos Santos,Universidade Federal de Mato Grosso,Bruno Garcia,Luize,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Evlyn Márcia Moraes,de Leão Novo,Instituto Nacional de Pesquisas Espaciais
Andrea,Fentem,Washington University School of Medicine in St. Louis,Raven,Riordan,Washington University School of Medicine in St. Louis,Christine,Doroshenko,Washington University School of Medicine in St. Louis,Xiao,Li,Washington University School of Medicine in St. Louis,Erin,Kasson,Washington University School of Medicine in St. Louis,Devin,Banks,University of Missouri-St. Louis,Rachel P.,Winograd,Missouri Institute of Mental Health,Patricia,Cavazos-Rehg,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin E.,Banks,University of Missouri-St. Louis,Alex,Duello,Missouri Institute of Mental Health,Maria E.,Paschke,University of Missouri-St. Louis,Sheila R.,Grigsby,University of Missouri-St. Louis,Rachel P.,Winograd,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruyi,Fan,National Key Laboratory of Crop Genetic Improvement,Fen,Zhao,National Key Laboratory of Crop Genetic Improvement,Zhou,Gong,"Innovation Academy for Precision Measurement Science and Technology,CAS",Yanke,Chen,"Innovation Academy for Precision Measurement Science and Technology,CAS",Bao,Yang,National Key Laboratory of Crop Genetic Improvement,Chen,Zhou,National Key Laboratory of Crop Genetic Improvement,Jie,Zhang,National Key Laboratory of Crop Genetic Improvement,Zhangmeng,Du,National Key Laboratory of Crop Genetic Improvement,Xuemin,Wang,"University of Missouri-St. Louis, Department of Biology",Ping,Yin,National Key Laboratory of Crop Genetic Improvement,Liang,Guo,National Key Laboratory of Crop Genetic Improvement,Zhu,Liu,National Key Laboratory of Crop Genetic Improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesca L.,Beaudoin,Brown University,Xinming,An,The University of North Carolina at Chapel Hill,Archana,Basu,Harvard T.H. Chan School of Public Health,Yinyao,Ji,The University of North Carolina at Chapel Hill,Mochuan,Liu,The University of North Carolina at Chapel Hill,Ronald C.,Kessler,Harvard Medical School,Robert F.,Doughtery,Mindstrong Health,Donglin,Zeng,The University of North Carolina at Chapel Hill,Kenneth A.,Bollen,The University of North Carolina at Chapel Hill,Stacey L.,House,Washington University School of Medicine in St. Louis,Jennifer S.,Stevens,Emory University School of Medicine,Thomas C.,Neylan,"University of California, San Francisco",Gari D.,Clifford,Emory University School of Medicine,Tanja,Jovanovic,Wayne State University,Sarah D.,Linnstaedt,The University of North Carolina at Chapel Hill,Laura T.,Germine,McLean Hospital,Scott L.,Rauch,McLean Hospital,John P.,Haran,University of Massachusetts Chan Medical School,Alan B.,Storrow,Vanderbilt University Medical Center,Christopher,Lewandowski,Henry Ford Health System,Paul I.,Musey,Indiana University School of Medicine,Phyllis L.,Hendry,University of Florida College of Medicine,Sophia,Sheikh,University of Florida College of Medicine,Christopher W.,Jones,Cooper Medical School of Rowan University,Brittany E.,Punches,University of Cincinnati College of Medicine,Michael C.,Kurz,University of Alabama at Birmingham School of Medicine,Robert A.,Swor,Oakland University William Beaumont School of Medicine,Vishnu P.,Murty,Temple University,Meghan E.,McGrath,Boston Medical Center,Lauren A.,Hudak,Emory University School of Medicine
Eiji,Goto,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali E.,Abbas,University of Southern California,Andrea C.,Hupman,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
